spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,full_text,shortDescription
Unholy Blight,evocation,,evil,"cleric/oracle 4, inquisitor 4",1 standard action,"V, S",medium (100 ft. + 10 ft./level),20-ft.-radius spread,,,instantaneous (1d4 rounds); see text,Will partial,yes,"<p>You call up unholy power to smite your enemies. The power takes the form of a cold, cloying miasma of greasy darkness. Only good and neutral (not evil) creatures are harmed by the spell.</p><p>The spell deals 1d8 points of damage per two caster levels (maximum 5d8) to a good creature (or 1d6 per caster level, maximum 10d6, to a good outsider) and causes it to be sickened for 1d4 rounds. A successful Will save reduces damage to half and negates the sickened effect. The effects cannot be negated by <i>remove disease</i> or <i>heal</i>, but <i>remove curse</i> is effective.</p><p>The spell deals only half damage to creatures who are neither evil nor good, and they are not sickened. Such a creature can reduce the damage by half again (down to one-quarter) with a successful Will save.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Unholy Blight</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [evil]; <b>Level </b>cleric/oracle 4, inquisitor 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Area </b>20-ft.-radius spread</h5><h5><b>Duration </b>instantaneous (1d4 rounds); see text</h5><h5><b>Saving Throw </b>Will partial; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>You call up unholy power to smite your enemies. The power takes the form of a cold, cloying miasma of greasy darkness. Only good and neutral (not evil) creatures are harmed by the spell.</p><p>The spell deals 1d8 points of damage per two caster levels (maximum 5d8) to a good creature (or 1d6 per caster level, maximum 10d6, to a good outsider) and causes it to be sickened for 1d4 rounds. A successful Will save reduces damage to half and negates the sickened effect. The effects cannot be negated by <i>remove disease</i> or <i>heal</i>, but <i>remove curse</i> is effective.</p><p>The spell deals only half damage to creatures who are neither evil nor good, and they are not sickened. Such a creature can reduce the damage by half again (down to one-quarter) with a successful Will save.</p></h4><h5><b>Mythic: </b>The damage dealt to good outsiders increases to 1d10 points of damage per caster level (maximum 10d10) and the damage dealt to other good creatures increases to 1d12 points of damage per 2 caster levels (maximum 5d12). The duration that creatures within the area are sickened increases to 2d4 rounds. On a successful save, a good creature is slowed for 1 round.</h5></div>", Harms and sickens good creatures (1d8 damage/2 levels).
Unseen Servant,conjuration,creation,,"bard 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1, magus 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",1 standard action,"V, S, M (a piece of string and a bit of wood)",close (25 ft. + 5 ft./2 levels),,"one invisible, mindless, shapeless servant",,1 hour/level,none,no,"<p>An <i>unseen servant</i> is an invisible, mindless, shapeless force that performs simple tasks at your command. It can run and fetch things, open unstuck doors, and hold chairs, as well as clean and mend. The servant can perform only one activity at a time, but it repeats the same activity over and over again if told to do so as long as you remain within range. It can open only normal doors, drawers, lids, and the like. It has an effective Strength score of 2 (so it can lift 20 pounds or drag 100 pounds). It can trigger traps and such, but it can exert only 20 pounds of force, which is not enough to activate certain pressure plates and other devices. It can't perform any task that requires a skill check with a DC higher than 10 or that requires a check using a skill that can't be used untrained. This servant cannot fly, climb, or even swim (though it can walk on water). Its base speed is 15 feet.</p><p>The servant cannot attack in any way; it is never allowed an attack roll. It cannot be killed, but it dissipates if it takes 6 points of damage from area attacks. (It gets no saves against attacks.) If you attempt to send it beyond the spell's range (measured from your current position), the servant ceases to exist.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Unseen Servant</p><div style=""clear: both;""></div></div><div><h5><b>School </b>conjuration (creation); <b>Level </b>bard 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1, magus 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (a piece of string and a bit of wood)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Effect </b>one invisible, mindless, shapeless servant</h5><h5><b>Duration </b>1 hour/level</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>An <i>unseen servant</i> is an invisible, mindless, shapeless force that performs simple tasks at your command. It can run and fetch things, open unstuck doors, and hold chairs, as well as clean and mend. The servant can perform only one activity at a time, but it repeats the same activity over and over again if told to do so as long as you remain within range. It can open only normal doors, drawers, lids, and the like. It has an effective Strength score of 2 (so it can lift 20 pounds or drag 100 pounds). It can trigger traps and such, but it can exert only 20 pounds of force, which is not enough to activate certain pressure plates and other devices. It can't perform any task that requires a skill check with a DC higher than 10 or that requires a check using a skill that can't be used untrained. This servant cannot fly, climb, or even swim (though it can walk on water). Its base speed is 15 feet.</p><p>The servant cannot attack in any way; it is never allowed an attack roll. It cannot be killed, but it dissipates if it takes 6 points of damage from area attacks. (It gets no saves against attacks.) If you attempt to send it beyond the spell's range (measured from your current position), the servant ceases to exist.</p></h4></div>",Invisible force obeys your commands.
Vampiric Touch,necromancy,,,"sorcerer/wizard 3, witch 3, antipaladin 3, magus 3, bloodrager 3, psychic 3, mesmerist 3, spiritualist 3, medium 3",1 standard action,"V, S",touch,,,living creature touched,instantaneous/1 hour; see text,none,yes,<p>You must succeed on a melee touch attack. Your touch deals 1d6 points of damage per two caster levels (maximum 10d6). You gain temporary hit points equal to the damage you deal. You can't gain more than the subject's current hit points + the subject's Constitution score (which is enough to kill the subject). The temporary hit points disappear 1 hour later.</p>,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Vampiric Touch</p><div style=""clear: both;""></div></div><div><h5><b>School </b>necromancy; <b>Level </b>sorcerer/wizard 3, witch 3, antipaladin 3, magus 3, bloodrager 3, psychic 3, mesmerist 3, spiritualist 3, medium 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>touch</h5><h5><b>Targets </b>living creature touched</h5><h5><b>Duration </b>instantaneous/1 hour; see text</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>You must succeed on a melee touch attack. Your touch deals 1d6 points of damage per two caster levels (maximum 10d6). You gain temporary hit points equal to the damage you deal. You can't gain more than the subject's current hit points + the subject's Constitution score (which is enough to kill the subject). The temporary hit points disappear 1 hour later.</p></h4><h5><b>Mythic: </b>The spell's damage increases to 1d8 points of damage per 2 caster levels (maximum 10d8). Your melee touch attack to deliver the spell threatens a critical hit on a 19 or 20. This expanded threat range doesn't stack with other effects or abilities that increase the threat range. If the damage kills the target, you gain fast healing 5 for a number of rounds equal to the Hit Dice of the target.</h5></div>",Touch deals 1d6 damage/2 levels; caster gains damage as temporary hp.
Veil,illusion,glamer,,"bard 6, sorcerer/wizard 6, psychic 6, mesmerist 6",1 standard action,"V, S",long (400 ft. + 40 ft./level),,,"one or more creatures, no two of which can be more than 30 ft. apart",concentration + 1 hour/level,Will negates; see text,yes; see text,"<p>You instantly change the appearance of the subjects and then maintain that appearance for the spell's duration. You can make the subjects appear to be anything you wish. The subjects look, feel, and smell just like the creatures the spell makes them resemble. Affected creatures resume their normal appearances if slain. You must succeed on a Disguise check to duplicate the appearance of a specific individual. This spell gives you a +10 bonus on the check.</p><p>Unwilling targets can negate the spell's effect on them by making Will saves or with spell resistance. Those who interact with the subjects can attempt Will disbelief saves to see through the glamer, but spell resistance doesn't help.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Veil</p><div style=""clear: both;""></div></div><div><h5><b>School </b>illusion (glamer); <b>Level </b>bard 6, sorcerer/wizard 6, psychic 6, mesmerist 6</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>long (400 ft. + 40 ft./level)</h5><h5><b>Targets </b>one or more creatures, no two of which can be more than 30 ft. apart</h5><h5><b>Duration </b>concentration + 1 hour/level (D)</h5><h5><b>Saving Throw </b>Will negates; see text; <b>Spell Resistance </b>yes; see text</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>You instantly change the appearance of the subjects and then maintain that appearance for the spell's duration. You can make the subjects appear to be anything you wish. The subjects look, feel, and smell just like the creatures the spell makes them resemble. Affected creatures resume their normal appearances if slain. You must succeed on a Disguise check to duplicate the appearance of a specific individual. This spell gives you a +10 bonus on the check.</p><p>Unwilling targets can negate the spell's effect on them by making Will saves or with spell resistance. Those who interact with the subjects can attempt Will disbelief saves to see through the glamer, but spell resistance doesn't help.</p></h4></div>",Changes appearance of group of creatures.
Ventriloquism,illusion,figment,,"bard 1, sorcerer/wizard 1, summoner/unchained summoner 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",1 standard action,"V, F (parchment rolled into cone)",close (25 ft. + 5 ft./2 levels),,"intelligible sound, usually speech",,1 min./level,Will disbelief (if interacted with),no,"<p>You can make your voice (or any sound that you can normally make vocally) seem to issue from someplace else. You can speak in any language you know. With respect to such voices and sounds, anyone who hears the sound and rolls a successful save recognizes it as illusory (but still hears it).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Ventriloquism</p><div style=""clear: both;""></div></div><div><h5><b>School </b>illusion (figment); <b>Level </b>bard 1, sorcerer/wizard 1, summoner/unchained summoner 1, psychic 1, mesmerist 1, spiritualist 1, medium 1</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, F (parchment rolled into cone)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Effect </b>intelligible sound, usually speech</h5><h5><b>Duration </b>1 min./level (D)</h5><h5><b>Saving Throw </b>Will disbelief (if interacted with); <b>Spell Resistance </b>no</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>You can make your voice (or any sound that you can normally make vocally) seem to issue from someplace else. You can speak in any language you know. With respect to such voices and sounds, anyone who hears the sound and rolls a successful save recognizes it as illusory (but still hears it).</p></h4></div>",Throws voice for 1 min./level.
Virtue,transmutation,,,"cleric/oracle 0, druid 0, paladin 1, inquisitor 0, shaman 0, psychic 0, spiritualist 0, medium 0",1 standard action,"V, S, DF",touch,,,creature touched,1 min.,none,yes (harmless),"<p>With a touch, you infuse a creature with a tiny surge of life, granting the subject 1 temporary hit point.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Virtue</p><div style=""clear: both;""></div></div><div><h5><b>School </b>transmutation; <b>Level </b>cleric/oracle 0, druid 0, paladin 1, inquisitor 0, shaman 0, psychic 0, spiritualist 0, medium 0</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, DF</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>touch</h5><h5><b>Targets </b>creature touched</h5><h5><b>Duration </b>1 min.</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>yes (harmless)</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>With a touch, you infuse a creature with a tiny surge of life, granting the subject 1 temporary hit point.</p></h4></div>",Subject gains 1 temporary hp.
Vision,divination,,,"sorcerer/wizard 7, witch 7, shaman 7, psychic 7",1 standard action,"V, S, M (incense worth 250 gp), F (four pieces of ivory worth 50 gp each)",personal,,,you,see text,,,"<p>This spell functions like <i>legend lore,</i> except that it works more quickly and produces some strain on you. You pose a question about some person, place, or object, then cast the spell. If the person or object is at hand or if you are in the place in question, you receive a vision about it by succeeding on a caster level check (1d20 + 1 per caster level; maximum +25) against DC 20. If only detailed information on the person, place, or object is known, the DC is 25, and the information gained is incomplete. If only rumors are known, the DC is 30, and the information gained is vague. After this spell is complete, you are fatigued.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Vision</p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>sorcerer/wizard 7, witch 7, shaman 7, psychic 7</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (incense worth 250 gp), F (four pieces of ivory worth 50 gp each)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>personal</h5><h5><b>Targets </b>you</h5><h5><b>Duration </b>see text</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell functions like <i>legend lore,</i> except that it works more quickly and produces some strain on you. You pose a question about some person, place, or object, then cast the spell. If the person or object is at hand or if you are in the place in question, you receive a vision about it by succeeding on a caster level check (1d20 + 1 per caster level; maximum +25) against DC 20. If only detailed information on the person, place, or object is known, the DC is 25, and the information gained is incomplete. If only rumors are known, the DC is 30, and the information gained is vague. After this spell is complete, you are fatigued.</p></h4></div>"," As legend lore, but quicker."
Wail of the Banshee,necromancy,,"death, sonic","sorcerer/wizard 9, witch 9, shaman 9, psychic 9",1 standard action,V,close (25 ft. + 5 ft./2 levels),,,one living creature/level within a 40-ft.-radius spread,instantaneous,Fortitude negates,yes,"<p>When you cast this spell, you emit a terrible, soul-chilling scream that possibly kills creatures that hear it (except for yourself ). The spell affects up to one creature per caster level, inflicting 10 points of damage per caster level. Creatures closest to the point of origin are affected first.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Wail of the Banshee</p><div style=""clear: both;""></div></div><div><h5><b>School </b>necromancy [death, sonic]; <b>Level </b>sorcerer/wizard 9, witch 9, shaman 9, psychic 9</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Targets </b>one living creature/level within a 40-ft.-radius spread</h5><h5><b>Duration </b>instantaneous</h5><h5><b>Saving Throw </b>Fortitude negates; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>When you cast this spell, you emit a terrible, soul-chilling scream that possibly kills creatures that hear it (except for yourself ). The spell affects up to one creature per caster level, inflicting 10 points of damage per caster level. Creatures closest to the point of origin are affected first.</p></h4></div>", Deals 10 damage/level to 1 creature/level.
Wall Of Fire,evocation,,fire,"druid 5, sorcerer/wizard 4, summoner 3, magus 4, bloodrager 4, shaman 5, occultist 4, unchained summoner 4",1 standard action,"V, S, M/DF (a piece of phosphor)",medium (100 ft. + 10 ft./level),,opaque sheet of flame up to 20 ft. long/level or a ring of fire with a radius of up to 5 ft./two levels; either form 20 ft. high,,concentration + 1 round/level,none,yes,"<p>An immobile, blazing curtain of shimmering violet fire springs into existence. One side of the wall, selected by you, sends forth waves of heat, dealing 2d4 points of fire damage to creatures within 10 feet and 1d4 points of fire damage to those past 10 feet but within 20 feet. The wall deals this damage when it appears, and to all creatures in the area on your turn each round. In addition, the wall deals 2d6 points of fire damage + 1 point of fire damage per caster level (maximum +20) to any creature passing through it. The wall deals double damage to undead creatures.</p><p>If you evoke the wall so that it appears where creatures are, each creature takes damage as if passing through the wall. If any 5-foot length of wall takes 20 points or more of cold damage in 1 round, that length goes away. (Do not divide cold damage by 2, as normal for objects.) <i>Wall of fire</i> can be made permanent with a <i>permanency</i> spell. A permanent <i>wall of fire</i> that is extinguished by cold damage becomes inactive for 10 minutes, then reforms at normal strength.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Wall Of Fire</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [fire]; <b>Level </b>druid 5, sorcerer/wizard 4, summoner 3, magus 4, bloodrager 4, shaman 5, occultist 4, unchained summoner 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M/DF (a piece of phosphor)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Effect </b>opaque sheet of flame up to 20 ft. long/level or a ring of fire with a radius of up to 5 ft./two levels; either form 20 ft. high</h5><h5><b>Duration </b>concentration + 1 round/level</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>An immobile, blazing curtain of shimmering violet fire springs into existence. One side of the wall, selected by you, sends forth waves of heat, dealing 2d4 points of fire damage to creatures within 10 feet and 1d4 points of fire damage to those past 10 feet but within 20 feet. The wall deals this damage when it appears, and to all creatures in the area on your turn each round. In addition, the wall deals 2d6 points of fire damage + 1 point of fire damage per caster level (maximum +20) to any creature passing through it. The wall deals double damage to undead creatures.</p><p>If you evoke the wall so that it appears where creatures are, each creature takes damage as if passing through the wall. If any 5-foot length of wall takes 20 points or more of cold damage in 1 round, that length goes away. (Do not divide cold damage by 2, as normal for objects.) <i>Wall of fire</i> can be made permanent with a <i>permanency</i> spell. A permanent <i>wall of fire</i> that is extinguished by cold damage becomes inactive for 10 minutes, then reforms at normal strength.</p></h4><h5><b>Mythic: </b>The wall's damage increases to 2d6 points of fire damage to creatures within 10 feet, 1d6 points of fire damage to those past 10 feet but within 20 feet, and 2d8 points of fire damage + 1 point of fire damage per caster level (maximum +20) to any creature passing through it. Any creature that passes through the wall or is within 5 feet of the wall when it's created must succeed at a Reflex save or catch fire. Attempts to extinguish this fire use the spell's save DC.</h5><h5><b>Augmented (5th)</b>: If you expend two uses of mythic power, you may move the wall 5 feet in any direction as a move action on your turn. Moving the wall into a fireproof barrier (such as a stone wall) destroys the part of the wall that overlaps the barrier.</h5></div>",Deals 2d4 fire damage out to 10 ft. and 1d4 out to 20 ft. Passing through wall deals 2d6 damage +1/level.
Wall Of Force,evocation,,force,"sorcerer/wizard 5, magus 5, occultist 5, psychic 5",1 standard action,"V, S, M (powdered quartz)",close (25 ft. + 5 ft./2 levels),,wall whose area is up to one 10-ft. square/level,,1 round /level (D),none,no,"<p>A <i>wall of force</i> creates an invisible wall of pure force. The wall cannot move and is not easily destroyed. A <i>wall of force</i> is immune to <i>dispel magic</i>, although a mage's disjunction can still dispel it.</p><p>A <i>wall of force</i> can be damaged by spells as normal, except for <i>disintegrate</i>, which automatically destroys it. It can be damaged by weapons and supernatural abilities, but a <i>wall of force</i> has hardness 30 and a number of hit points equal to 20 per caster level. Contact with a <i>sphere of annihilation</i> or <i>rod of cancellation</i> instantly destroys a <i>wall of force</i>.</p><p>Breath weapons and spells cannot pass through a <i>wall of force</i> in either direction, although <i>dimension door</i>, <i>teleport</i>, and similar effects can bypass the barrier. It blocks ethereal creatures as well as material ones (though ethereal creatures can usually circumvent the wall by going around it, through material floors and ceilings). Gaze attacks can operate through a <i>wall of force</i>.</p><p>The caster can form the wall into a flat, vertical plane whose area is up to one 10-foot square per level. The wall must be continuous and unbroken when formed. If its surface is broken by any object or creature, the spell fails.</p><p><i>Wall of force</i> can be made permanent with a <i>permanency</i> spell.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Wall Of Force</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [force]; <b>Level </b>sorcerer/wizard 5, magus 5, occultist 5, psychic 5</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (powdered quartz)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Effect </b>wall whose area is up to one 10-ft. square/level</h5><h5><b>Duration </b>1 round /level (D)</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>A <i>wall of force</i> creates an invisible wall of pure force. The wall cannot move and is not easily destroyed. A <i>wall of force</i> is immune to <i>dispel magic</i>, although a mage's disjunction can still dispel it.</p><p>A <i>wall of force</i> can be damaged by spells as normal, except for <i>disintegrate</i>, which automatically destroys it. It can be damaged by weapons and supernatural abilities, but a <i>wall of force</i> has hardness 30 and a number of hit points equal to 20 per caster level. Contact with a <i>sphere of annihilation</i> or <i>rod of cancellation</i> instantly destroys a <i>wall of force</i>.</p><p>Breath weapons and spells cannot pass through a <i>wall of force</i> in either direction, although <i>dimension door</i>, <i>teleport</i>, and similar effects can bypass the barrier. It blocks ethereal creatures as well as material ones (though ethereal creatures can usually circumvent the wall by going around it, through material floors and ceilings). Gaze attacks can operate through a <i>wall of force</i>.</p><p>The caster can form the wall into a flat, vertical plane whose area is up to one 10-foot square per level. The wall must be continuous and unbroken when formed. If its surface is broken by any object or creature, the spell fails.</p><p><i>Wall of force</i> can be made permanent with a <i>permanency</i> spell.</p></h4><h5><b>Mythic: </b>The wall's hardness increases to 40, and its hit points increase to 30 per caster level. A non-mythic disintegrate spell or rod of cancellation negates a 10-foot-square section of a mythic wall of force for 1 round, after which the wall reforms at full strength. One side of the wall (chosen by you) repels creatures within 5 feet as a repulsion spell (using the DC wall of force would have if it allowed a saving throw).</h5></div>", Wall is immune to damage.
Wall Of Ice,evocation,,cold,"sorcerer/wizard 4, summoner 3, magus 4, bloodrager 4, occultist 4, unchained summoner 4",1 standard action,"V, S, M (a piece of quartz or rock crystal)",medium (100 ft. + 10 ft./level),,"anchored plane of ice, up to one 10-ft. square/level, or hemisphere of ice with a radius of up to 3 ft. + 1 ft./level",,1 min./level,Reflex negates; see text,yes,"<p>This spell creates an anchored plane of ice or a <i>hemisphere</i> of ice, depending on the version selected. A <i>wall of ice</i> cannot form in an area occupied by physical objects or creatures. Its surface must be smooth and unbroken when created. Any creature adjacent to the wall when it is created may attempt a Reflex save to disrupt the wall as it is being formed. A successful save indicates that the spell automatically fails.</p><p>Fire can melt a <i>wall of ice</i>, and it deals full damage to the wall (instead of the normal half damage taken by objects). Suddenly melting a <i>wall of ice</i> creates a great cloud of steamy fog that lasts for 10 minutes.</p><p><i>Ice Plane</i>: A sheet of strong, hard ice appears. The wall is 1 inch thick per caster level. It covers up to a 10-foot-square area per caster level (so a 10th-level wizard can create a <i>wall of ice</i> 100 feet long and 10 feet high, a wall 50 feet long and 20 feet high, or any other combination of length and height that does not exceed 1,000 square feet). The plane can be oriented in any fashion as long as it is anchored. A vertical wall need only be anchored on the floor, while a horizontal or slanting wall must be anchored on two opposite sides.</p><p>Each 10-foot square of wall has 3 hit points per inch of thickness.</p><p>Creatures can hit the wall automatically. A section of wall whose hit points drop to 0 is breached. If a creature tries to break through the wall with a single attack, the DC for the Strength check is 15 + caster level.</p><p>Even when the ice has been broken through, a sheet of frigid air remains. Any creature stepping through it (including the one who broke through the wall) takes 1d6 points of cold damage + 1 point per caster level (no save).</p><p><i>Hemisphere</i>: The wall takes the form of a <i>hemisphere</i> whose maximum radius is 3 feet + 1 foot per caster level. The <i>hemisphere</i> is as hard to break through as the <i>ice plane</i> form, but it does not deal damage to those who go through a breach.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Wall Of Ice</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [cold]; <b>Level </b>sorcerer/wizard 4, summoner 3, magus 4, bloodrager 4, occultist 4, unchained summoner 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (a piece of quartz or rock crystal)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Effect </b>anchored plane of ice, up to one 10-ft. square/level, or hemisphere of ice with a radius of up to 3 ft. + 1 ft./level</h5><h5><b>Duration </b>1 min./level</h5><h5><b>Saving Throw </b>Reflex negates; see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell creates an anchored plane of ice or a <i>hemisphere</i> of ice, depending on the version selected. A <i>wall of ice</i> cannot form in an area occupied by physical objects or creatures. Its surface must be smooth and unbroken when created. Any creature adjacent to the wall when it is created may attempt a Reflex save to disrupt the wall as it is being formed. A successful save indicates that the spell automatically fails.</p><p>Fire can melt a <i>wall of ice</i>, and it deals full damage to the wall (instead of the normal half damage taken by objects). Suddenly melting a <i>wall of ice</i> creates a great cloud of steamy fog that lasts for 10 minutes.</p><p><i>Ice Plane</i>: A sheet of strong, hard ice appears. The wall is 1 inch thick per caster level. It covers up to a 10-foot-square area per caster level (so a 10th-level wizard can create a <i>wall of ice</i> 100 feet long and 10 feet high, a wall 50 feet long and 20 feet high, or any other combination of length and height that does not exceed 1,000 square feet). The plane can be oriented in any fashion as long as it is anchored. A vertical wall need only be anchored on the floor, while a horizontal or slanting wall must be anchored on two opposite sides.</p><p>Each 10-foot square of wall has 3 hit points per inch of thickness.</p><p>Creatures can hit the wall automatically. A section of wall whose hit points drop to 0 is breached. If a creature tries to break through the wall with a single attack, the DC for the Strength check is 15 + caster level.</p><p>Even when the ice has been broken through, a sheet of frigid air remains. Any creature stepping through it (including the one who broke through the wall) takes 1d6 points of cold damage + 1 point per caster level (no save).</p><p><i>Hemisphere</i>: The wall takes the form of a <i>hemisphere</i> whose maximum radius is 3 feet + 1 foot per caster level. The <i>hemisphere</i> is as hard to break through as the <i>ice plane</i> form, but it does not deal damage to those who go through a breach.</p></h4><h5><b>Mythic: </b>The wall's hit points increase to 5 hit points per inch of thickness. Add your tier to the Strength check DC to break through the wall. The damage dealt to those that step through the wall increases to 1d8 points of cold damage + 1 point per caster level. Any creature that passes through the wall must succeed at a Fortitude save or be staggered for 1d4 rounds; this is a cold effect.</h5><h5><b>Augmented (5th)</b>: If you expend two uses of mythic power, you cover the wall in sharp, protruding icicles. Any creature that touches, strikes, or breaks through the wall takes 1d6 points of cold damage, 1d6 points of piercing damage, and 1 point of bleed damage.</h5></div>", Ice plane creates wall or hemisphere creates dome.
