spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,domain,shortDescription,materialComponents
Mirror Polish,transmutation,,,"sorcerer/wizard 1, witch 1, occultist 1",1 standard action,"V, S, M (a soft cloth)",touch,,,one metal item of up to 1 sq. ft.,instantaneous,yes (object),yes (object),"&lt;p&gt;You polish a metal item until it is reflective enough to be used as a mirror. This does not prevent the item from later damage or corrosion that would ruin the mirrored surface.&lt;/p&gt;&lt;p&gt;The spell can be cast only on a metal item with a fairly smooth and contiguous surface, such as a breastplate, a helm, a shield, or a sword, but not a mace, chainmail, or scale mail.&lt;/p&gt;",Advanced Class Guide,,Polish a metal item until it’s usable as a mirror.,NULL
Mirror Transport,transmutation,,,"sorcerer/wizard 4, witch 4, occultist 4, psychic 4, spiritualist 4",1 standard action,"V, S, M (a glass or metal marble and a twisted loop of parchment)",touch,,,one mirror,1 hour/level (D),yes (object),yes (object),"&lt;p&gt;This spell functions as &lt;i&gt;mirror hideaway&lt;/i&gt;, except any creature that enters the target mirror can spend a swift action to exit through another mirror within 500 feet as if using &lt;i&gt;dimension door&lt;/i&gt;; this is a one-way transport. The creature can exit through a mirror only if it could fit through an opening the same size as the mirror. Each transport through the target mirror reduces the spell&apos;s duration by 1 hour.&lt;/p&gt;",Advanced Class Guide,,Mirror becomes a multiple-use dimension door.,NULL
Molten Orb,evocation,,"earth, fire","bloodrager 2, magus 2, sorcerer/wizard 2, witch 2",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,ranged attack,,instantaneous,none,yes,"&lt;p&gt;You create a fist-sized, red-hot ball of molten metal that you immediately hurl as a splash weapon. A direct hit deals 2d6 points of fire damage. Every creature within 5 feet of where the ball hits takes 1d6 points of fire damage from the splash (Reflex half). Each of these creatures takes an additional 1d6 points of fire damage on its turn for the next 1d3 rounds, unless it is cooled off (with water, snow, or any effect that deals 5 or more points of cold damage).&lt;/p&gt;",Advanced Class Guide,,Molten metal splash weapon deals 2d6 fire damage plus ongoing damage.,NULL
Monkey Fish,transmutation,,,"alchemist 1, druid 1, magus 1, shaman 1, sorcerer/wizard 1, psychic 1",1 standard action,"V, S",personal,,,you,1 minute/level (D),,,&lt;p&gt;Your hands and feet alter to make you better at climbing and swimming. You gain a 10 foot climb speed and swim speed. This spell has no effect if you are wearing medium or heavy armor or carrying a medium or heavy load.&lt;/p&gt;,Advanced Class Guide,,Gain a climb speed of 10 ft. and a swim speed of 10 ft. for a time.,NULL
Muffle Sound,illusion,glamer,,"bard 2, cleric/oracle 2, inquisitor 2, psychic 2, mesmerist 2",1 round,"V, S",close (25 ft. + 5 ft./2 levels),,,1 ally/level,1 minute/level (D),Will negates,yes,"&lt;p&gt;You suppress sounds made by the targets, granting them a +4 bonus on Stealth checks. The targets have a 20% chance of spell failure when casting spells with verbal components or using abilities that have audible components (such as some bardic performances). This spell does not hamper the targets&apos; ability to hear other sounds and provides no protection against language-dependent or sonic spells and effects.&lt;/p&gt;",Advanced Class Guide,,Allies gain a bonus on Stealth checks but risk verbal spell failure.,NULL
Nauseating Dart,conjuration,creation,poison,"druid 1, witch 1",1 standard action,"S, DF",close (25 ft. + 5 ft./2 levels),,one poisonous stinger,,instantaneous,Fortitude partial (see text),no,"&lt;p&gt;You spit a poisonous stinger around the size of a quill at a creature within range, as though you had fired a dart from a blowgun. You must succeed at a ranged attack to hit your target. The stinger deals 1d2 points of piercing damage and poisons the target, causing it to become nauseated for 1 round unless it succeeds at a Fortitude save.&lt;/p&gt;",Advanced Class Guide,,Poisonous stinger deals 1d2 damage and sickens target.,NULL
Nauseating Trail,conjuration,creation,poison,"alchemist 3, druid 3, magus 3, shaman 3, sorcerer/wizard 3, witch 3",1 standard action,"V, S, M (a rotten egg or cabbage leaves)",medium (100 ft. + 10 ft./level),,,one willing creature,1 round/level,none and Fortitude negates (see text),no,"&lt;p&gt;The target exudes stinking vapors that fill its space. The vapors do not obscure sight, but it nauseates creatures as &lt;i&gt;stinking cloud&lt;/i&gt;. The target is immune to these vapors. These vapors persist as the creature moves, filling every square it passes through until it has filled a number of squares equal to 4 x your caster level-if you move through more squares than that, squares in excess of that number at not filled with the vapors. Each creature that enters or ends its turn in the area filled with these vapors must succeed at a Fortitude save or become nauseated for as long as it remains in the square and for 1d4+1 rounds after it leaves.&lt;/p&gt;",Advanced Class Guide,,Creature leaves a trail of stinking cloud squares.,NULL
Path Of Glory,conjuration,healing,,"bard 2, cleric/oracle 2",1 standard action,"V, S",touch (see text),four 5-ft. squares/level (see text),,,1 round/level,none,no,"&lt;p&gt;You cause four 5-foot squares (one of which must be your space) to glow with dim illumination. Starting on your next turn, as a swift action you can extend the glowing area by an additional four 5-foot squares; each new square must be adjacent to a square that was previously glowing. Allies that end their turns on a glowing square (including one who falls unconscious in the square) are healed of 1 point of damage.&lt;/p&gt;",Advanced Class Guide,,Create an expanding glow that heals allies within it of 1 hp of damage.,NULL
"Path Of Glory, Greater",conjuration,healing,,"bard 4, cleric/oracle 4",1 standard action,"V, S",touch (see text),four 5-ft. squares/level (see text),,,1 round/level,none,no,"&lt;p&gt;This spell functions as &lt;i&gt;path of glory&lt;/i&gt;, except as noted above, and a square provides 5 points of healing instead of 1.&lt;/p&gt;",Advanced Class Guide,,Create an expanding glow that heals allies within it of 5 hp of damage.,NULL
Persistent Vigor,transmutation,,,"alchemist 4, cleric/oracle 4, inquisitor 4, shaman 4, witch 4, psychic 4",1 standard action,"V, S, M/DF (ginseng root shavings)",personal,,,you,1 round/level (D),,,"&lt;p&gt;You are filled with a persistent vigor. You gain fast healing 2 and are immune to bleed effects as well as the sickened and nauseated conditions. When you succeed at a saving throw against a disease or poison effect, that disease or poison effect ends (as if you had succeeded at enough saving throws to cure that effect).&lt;/p&gt;&lt;p&gt;If you fail a saving throw against a disease or poison effect, you can instantly dismiss this spell to reroll that saving throw with a +4 bonus; you must take the result of this reroll, even if it is lower.&lt;/p&gt;",Advanced Class Guide,,"Gain fast healing 2, immunity to bleed, and faster recovery from diseases and poisons.",NULL
Phantom Blood,necromancy,,,"alchemist 1, bloodrager 1, magus 1, sorcerer/wizard 1, spiritualist 1",1 standard action,"V, S",personal,,,you,10 minutes/level,,,"&lt;p&gt;You bolster your life energy. If the loss of hit points at the end of a temporary effect that modifies your Constitution (such as barbarian&apos;s rage or bloodrager&apos;s bloodrage) would cause you to become unconscious or kill you, you gain temporary hit points equal to your caster level (maximum 10). Each casting of this spell grants you temporary hit points only once.&lt;/p&gt;",Advanced Class Guide,,Gain temporary hp if Con loss would knock you out or kill you.,NULL
Pierce Disguise,divination,,,"bard 3, shaman 3, sorcerer/wizard 3, witch 3, occultist 3, psychic 3, medium 3",1 standard action,"V, S",personal,,,you,1 minute/level,,,&lt;p&gt;You see through magical disguises (whether illusions or polymorph effects) of the same spell level or lower. This allows you to see the true forms of creatures magically disguised by such methods. The true form appears as a ghostly overlay on the creature&apos;s disguised appearance.&lt;/p&gt;,Advanced Class Guide,,See through low-level magical disguises.,NULL
Planeslayer&apos;s Call,enchantment,compulsion,"mind-affecting, see text","cleric/oracle 5, inquisitor 4, paladin 4",1 standard action,"V, S, DF",20 ft.,,,allies within a 20-ft.-radius burst centered on you,1 round/level,none,yes,"&lt;p&gt;The magic of your allies in the area becomes more potent against certain outsiders. Choose one alignment subtype (chaotic, evil, good, or lawful). Against outsiders with that alignment component or subtype, your allies in the area gain a +2 bonus on caster level checks to overcome spell resistance, and their spells ignore the first 10 points of energy resistance (but not energy immunity).  This spell gains the alignment descriptor that is opposite the outsider alignment chosen. For example, if you choose for the spell to affect evil outsiders, then this spell has the good descriptor.&lt;/p&gt;",Advanced Class Guide,,Allies gain benefits against outsiders of an alignment you choose.,NULL
Polymorph Familiar,transmutation,polymorph,,"shaman 3, sorcerer/wizard 3, witch 3",1 standard action,"V, S",close (25 ft. +5 ft./2 levels),,,your familiar,1 minute/level (D),none,yes (harmless),"&lt;p&gt;This spell functions as &lt;i&gt;beast shape I&lt;/i&gt;, except it grants your familiar the form of any Small animal. Your familiar retains all of its special abilities and continues to grant you the special ability associated with its normal shape (such as a bat familiar&apos;s bonus on Fly checks).&lt;/p&gt;&lt;p&gt;At caster level 7th, this spell functions as &lt;i&gt;beast shape II&lt;/i&gt;.&lt;/p&gt;&lt;p&gt;At caster level 9th, it functions as &lt;i&gt;beast shape III&lt;/i&gt;. At caster level 11th, it functions as &lt;i&gt;beast shape IV&lt;/i&gt;.&lt;/p&gt;",Advanced Class Guide,,Give your familiar the shape of another animal.,NULL
Refine Improvised Weapon,transmutation,,,"cleric/oracle 1, inquisitor 1, ranger 1, sorcerer/wizard 1, occultist 1",1 standard action,"V, S, DF",touch,,,one improvised weapon,1 hour/level (D),"Will negates (harmless, object)","yes (harmless, object)","&lt;p&gt;You transform an improvised weapon into an equivalent simple or martial weapon of masterwork quality. This does not alter the weapon&apos;s shape or appearance in any way. For example, if this spell is cast on a chair leg, a butter knife, or a pitchfork, the items function as a masterwork club, a masterwork dagger, or a masterwork trident, respectively, but the items look no different than they did before the spell was cast.&lt;/p&gt;",Advanced Class Guide,,Transform improvised weapon into a masterwork simple or martial weapon.,NULL
Repair Undead,necromancy,,,sorcerer/wizard 1,1 standard action,"V, S",touch,,,one undead creature touched (see text),instantaneous,Will half (harmless),yes (harmless),"&lt;p&gt;When you touch an undead creature, you channel negative energy that heals 1d8 points of damage + 1 point per caster level (maximum +5). This spell has no effect on living creatures, except those that are healed by negative energy are also healed by the spell.&lt;/p&gt;",Advanced Class Guide,,Heals one undead of 1d8 hp + 1/level (max +5).,NULL
"Repair Undead, Mass",necromancy,,,"sorcerer/wizard 5, spiritualist 5",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,,"one undead creature/level, no two of which can be more than 30 ft. apart",instantaneous,Will half (harmless),yes (harmless),"&lt;p&gt;This spell functions as &lt;i&gt;repair undead&lt;/i&gt;, except as noted above, and it cures 1d8 points of damage + 1 point per caster level (maximum +20) on each selected creature.&lt;/p&gt;",Advanced Class Guide,,Heals undead of 1d8 hp + 1/level; affects 1 undead/level.,NULL
River Whip,conjuration,creation,water,"magus 2, sorcerer/wizard 2, witch 2",1 standard action,"V, S",0 ft.,,whip of water,,1 minute/level (D) or until discharged (see text),none,no,"&lt;p&gt;You create a coil of flowing fresh water, functioning a whip appropriate for your size, except you make a melee touch attack instead of a regular attack. Anything you strike with the whip takes damage and is doused with 1 pint of water.&lt;/p&gt;&lt;p&gt;A creature with the fire subtype takes an additional 1d6 points of damage. If the target is on fire, it gains a +2 bonus on its next saving throw to extinguish the flames.&lt;/p&gt;&lt;p&gt;After you have successfully used the whip to hit a creature a number of times equal to your caster level, the water is expended and the spell is discharged. The water created by this spell is otherwise identical to that produced by &lt;i&gt;create water&lt;/i&gt;.&lt;/p&gt;",Advanced Class Guide,,Create a whip of water that you wield as a weapon.,NULL
Sense Spirit Magic,divination,,,shaman 1,1 standard action,"V, S",personal,,,you,24 hours,none,no,"&lt;p&gt;You gain greater sensitivity to magic associated with your primary spirit and your wandering spirits (any spells on the spirit magic spell lists for these spirits, as well as spell-like abilities that duplicate the effects of those spells). You gain a +10 circumstance bonus on Spellcraft checks to identify these spells if they are cast within the area, and a +2 circumstance bonus on saving throws to resist the effects of such spells. If any of these spells require an attack roll, you are never considered flat-footed against such attacks.&lt;/p&gt;",Advanced Class Guide,,Gain bonuses on identifying and resisting spells associated with your spirits.,NULL
Shield Companion,abjuration,,,"paladin 2, ranger 2, shaman 2, sorcerer/wizard 3, summoner/unchained summoner 3",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,,your companion creature,1 hour/level (D),Will negates (harmless),yes (harmless),"&lt;p&gt;This spell creates a special mystical connection between you and your companion creature-animal companion, bonded mount, eidolon, or familiar-which allows you to transfer its wounds to you. The creature gains a +1 deflection bonus to AC and a +1 resistance bonus on saves.&lt;/p&gt;&lt;p&gt;As an immediate action when your companion takes damage, you can take that damage yourself to prevent your companion from being harmed (similar to &lt;i&gt;shield other&lt;/i&gt;, except the damage is not split between you and the target). Forms of harm that do not involve the loss of hit points, such as charm effects, temporary ability damage, level drain, and death effects, are not affected. If the creature suffers a reduction of hit points from a lowered Constitution score, you cannot take that damage on behalf of your companion creature because it is not hit point damage. When the spell ends, damage directed to you by the spell is not reassigned to the subject.&lt;/p&gt;&lt;p&gt;If you and your companion move out of range of each other, the spell ends.&lt;/p&gt;",Advanced Class Guide,,"As shield other, but affecting your companion creature.",NULL
Shield Of Fortification,abjuration,,,"cleric/oracle 2, inquisitor 1, paladin 1, psychic 2",1 standard action,"V, S, DF",touch,,,creature touched,1 minute/level,Fortitude negates (harmless),yes (harmless),"&lt;p&gt;You create a magical barrier that protects a target&apos;s vital areas. When the target is struck by a critical hit or a sneak attack, there is a 25% chance that the critical hit or sneak attack is negated and damage is instead rolled normally.&lt;/p&gt;&lt;p&gt;This benefit does not stack with other effects that can turn critical hits or sneak attacks into normal attacks, such as the &lt;i&gt;fortification&lt;/i&gt; armor special ability.&lt;/p&gt;",Advanced Class Guide,,Target gains a 25% chance to treat critical hits and sneak attacks as normal hits.,NULL
"Shield Of Fortification, Greater",abjuration,,,"cleric/oracle 4, inquisitor 3, paladin 3, psychic 4",1 standard action,"V, S, DF",touch,,,creature touched,1 minute/level,Fortitude negates (harmless),yes (harmless),"&lt;p&gt;This spell functions as &lt;i&gt;shield of fortification&lt;/i&gt;, except there is a 50% chance that the critical hit or sneak attack is negated and damage is instead be rolled normally, rather than 25%.&lt;/p&gt;",Advanced Class Guide,,Target gains a 50% chance to treat critical hits and sneak attacks as normal hits.,NULL
Sickening Entanglement,transmutation,,poison,"druid 2, ranger 2, shaman 2",1 standard action,"V, S, DF",long (400 ft. + 40 ft./level),plants in a 40-ft.-radius spread,,,1 min./level (D),Reflex partial and Fortitude negates (see  text),no,"&lt;p&gt;This spell functions as &lt;i&gt;entangle&lt;/i&gt;, except the plants are coated with an irritating sap that creates a painful, itching rash on creatures that touch them. Any creature that enters the area or ends its turn there must succeed at a Fortitude save or be sickened as long as it remains in the area and for 1d4 rounds afterward. This is a poison effect.&lt;/p&gt;",Advanced Class Guide,,"As entangle, but plants have sickening sap.",NULL
Silent Table,illusion,glamer,,"bard 2, cleric/oracle 2, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2",1 round,V,close (25 ft. + 5 ft./2 levels),5-ft.-diameter emanation centered on an object or a point in space,,,1 minute/level (D),none (object),no (object),"&lt;p&gt;You protect an area against casual eavesdropping. Sounds and sonic effects that originate inside the area are muffled for anyone outside the area; Perception DCs to hear or understand sounds leaving the area increase by 20, and any saving throw DCs of these effects decrease by 2. The spell does not affect sounds that enter the area or the Perception checks of creatures inside it.&lt;/p&gt;",Advanced Class Guide,,Give yourself privacy by muffling sound.,NULL
Silver Darts,conjuration,creation,,"bloodrager 3, magus 3, sorcerer/wizard 3, witch 3",1 standard action,"V, S, M (a silver needle)",15 ft.,cone-shaped burst,,,instantaneous,Reflex half,yes,&lt;p&gt;A cone of silver darts springs from your hand. These darts act as a silver weapon that deals 1d6 points of piercing damage per caster level (maximum 10d6). Any creature with an armor bonus greater than +4 or a natural armor bonus greater than +4 takes 50% less damage.&lt;/p&gt;,Advanced Class Guide,,"Cone of silver darts deals 1d6 piercing damage/level, more against unarmored targets.",NULL
Slowing Mud,conjuration,creation,,"druid 4, shaman 4",1 standard action,"V, S, M (earth and water)",close (25 ft. + 5 ft./2 levels),,,"one creature/level, no two of which can be more than 30 ft. apart",1 round/level (see text),Fortitude negates,yes,"&lt;p&gt;You coat the targets in thick, sticky mud. The mud acts as a &lt;i&gt;slow&lt;/i&gt; spell and also blinds the targets. A creature can use a standard action to remove the mud from its eyes or the eyes of an adjacent creature, ending the blinded condition for that individual. Removing enough mud to end the &lt;i&gt;slow&lt;/i&gt; effect is a full-round action. Jumping into a lake or being subject to an effect that creates a lot of water (such as &lt;i&gt;create water&lt;/i&gt; or &lt;i&gt;hydraulic&lt;/i&gt; pushAPG) removes all the mud in 1 round.&lt;/p&gt;&lt;p&gt;A &lt;i&gt;haste&lt;/i&gt; effect cast on a creature &lt;i&gt;slow&lt;/i&gt;ed by the mud allows it to act normally for the duration of the &lt;i&gt;haste&lt;/i&gt;. &lt;i&gt;Slow&lt;/i&gt; does not stack with the effects of &lt;i&gt;slow&lt;/i&gt;ing mud. This spell cannot counter or dispel &lt;i&gt;haste&lt;/i&gt;.&lt;/p&gt;",Advanced Class Guide,,Targets are covered in mud that blinds them and acts like slow.,NULL
Sonic Form,transmutation,polymorph,sonic,"alchemist 6, bard 6, sorcerer/wizard 6",1 standard action,"V, S, M (a pinch of dust gathered from a gravestone or a sacred shrine)",personal,,,you,1 round/level,,,"&lt;p&gt;Upon casting this spell, you keep your relative shape, but you and your equipment are transformed into semisolid sound. While in this sonic form, you take no penalties for squeezing, and you can move through spaces without penalty as if you were a creature three size categories smaller. You can make a melee touch attack once per round that deals 1d6 points of sonic damage + 1 point per caster level. You are considered incorporeal (although you cannot move through solid objects). Any nonmagical attacks you make deal half damage. Magical attacks are unaffected, and you can use your magic items and other equipment as normal.  You cannot enter an area of &lt;i&gt;silence&lt;/i&gt;. If you are in the area of a &lt;i&gt;silence&lt;/i&gt; spell, you take 1d6 points of sonic damage per caster level of the &lt;i&gt;silence&lt;/i&gt; spell in the round it is cast and in each round when you end your turn within the spell&apos;s area. You can attempt a Fortitude saving throw each round to take half damage.  If this spell&apos;s duration ends when you are in a square that a creature of your size cannot normally occupy, you take 3d6 points of damage and are shunted to the nearest open space that you can normally occupy.&lt;/p&gt;",Advanced Class Guide,,Turn yourself into a creature of semisolid sound.,NULL
Sonic Scream,evocation,,sonic,"bard 2, bloodrager 2, magus 2, sorcerer/wizard 2, psychic 2",1 standard action,"V, S",15 ft.,cone-shaped burst,,,1 round/level or until discharged (see text),Reflex half (see text),yes,"&lt;p&gt;Up to three times during this spell&apos;s duration, you can emit a cone of powerful sound as a standard action. The first cone deals 4d4 points of sonic damage to every creature in the area. The second deals 2d4 points of sonic damage to every creature in the area. The third deals 1d4 points of sonic damage to every creature in the area. A successful Reflex save against a cone halves that cone&apos;s damage. After the third cone of sound, the spell ends. Until you use all three cones, you cannot use your voice for any magic-related purpose (bardic performance, verbal spellcasting, and so on), and cannot speak at any volume lower than a shout.&lt;/p&gt;",Advanced Class Guide,,Create a cone of damaging sound at will.,NULL
Speak With Haunt,necromancy,,language-dependent,"cleric/oracle 4, shaman 3, witch 4, psychic 4, spiritualist 4, medium 2",10 minutes,"V, S, DF",10 ft. (see text),,,one haunt,1 minute/level,Will negates (see text),no,"&lt;p&gt;You stir a haunt (&lt;i&gt;Pathfinder RPG GameMastery Guide&lt;/i&gt; 242) to a limited sense of awareness and consciousness, allowing it to answer questions. The spell&apos;s range must reach any square within 10 feet of the haunt&apos;s area. You must be aware of the haunt prior to casting the spell, and casting the spell does not trigger the haunt. You can ask one question per 2 caster levels. The haunt&apos;s knowledge is limited to what its original creature knew during life, including the languages it spoke. A haunt often remembers the circumstance that led to its existence (though this recollection might be from the original victim&apos;s perspective and therefore not objective), what triggers it, and how it can be laid to rest (destroyed). Answers are brief, cryptic, or repetitive, especially if the haunt is angry and vindictive.&lt;/p&gt;&lt;p&gt;If the haunt&apos;s alignment is more than one step away from yours, the haunt can attempt a Will save to resist the spell.&lt;/p&gt;&lt;p&gt;A haunt&apos;s Will save modifier is equal to 3 + the haunt&apos;s CR.&lt;/p&gt;&lt;p&gt;If the save is successful, the haunt can refuse to answer your questions or attempt to deceive you (using Bluff). A haunt&apos;s Bluff modifier equals its CR (minimum +0) or might be determined by the GM based upon the original victim.&lt;/p&gt;&lt;p&gt;The haunt can speak only about what it knew in life and the circumstances by which it became a haunt. It cannot answer any questions that pertain to events that occurred after it was created. A neutral or good haunt might cooperate with similarly aligned creatures in order to end its suffering.&lt;/p&gt;&lt;p&gt;If a haunt has been subject to this spell within the past week, a new casting of this spell on it fails. You can cast this on a haunt that has been deceased for any amount of time.&lt;/p&gt;&lt;p&gt;Unlike a corpse affected by &lt;i&gt;speak with dead&lt;/i&gt;, a haunt wants to express itself, if only to share its pain or to cause mischief.&lt;/p&gt;",Advanced Class Guide,,Haunt answers one question/2 levels.,NULL
"Spellcrash, Lesser",abjuration,,,"cleric/oracle 4, sorcerer/wizard 4, witch 4, psychic 4",1 standard action,"V, S",medium (100 ft. + 10 ft./level),,,one creature,1 round/level,Will negates; see text,yes,"&lt;p&gt;You create a discordant blast of energy that disrupts the target&apos;s available magic each round at the start of its turn.  If the target prepares spells, it must choose one of its prepared 3rd-level spells, which is immediately lost; if the target has no 3rd-level spells prepared, it must lose a 2nd-level spell it has prepared (progressing down to a 1st-level spell if it has no 2nd-level spells prepared).  If the target is a spontaneous spellcaster, it loses one of its available 3rd-level spell slots; if the target has no available 3rd-level spell slots, it must lose a 2nd-level spell slot (progressing down to a 1st-level spell slot if it has no 2nd-level spell slots available).  There is no initial saving throw for this spell, but the target can attempt a Will save each round at the end of its turn.  If the target has more than one spellcasting class, choose one at random to be affected. This spell has no effect on spell-like abilities.  Any spell or spell slot lost because of this spell is treated as if the caster had failed a concentration check while trying to cast it-the spell or the spell slot is wasted and has no effect, but is recovered normally the next time the character prepares spells or regains spell slots.&lt;/p&gt;",Advanced Class Guide,,Target loses a 3rd-level prepared spell or spell slot.,NULL
"Spellcrash, Greater",abjuration,,,"cleric/oracle 8, sorcerer/wizard 8, witch 8",1 standard action,"V, S",medium (100 ft. + 10 ft./level),,,one creature,1 round/level,Will negates; see text,yes,"&lt;p&gt;This spell functions as &lt;i&gt;lesser spellcrash&lt;/i&gt;, except it affects 7th-level or lower prepared spells or spell slots.&lt;/p&gt;",Advanced Class Guide,,Target loses a 7th-level prepared spell or spell slot.,NULL
Spellcrash,abjuration,,,"cleric/oracle 6, sorcerer/wizard 6, witch 6, psychic 6",1 standard action,"V, S",medium (100 ft. + 10 ft./level),,,one creature,1 round/level,Will negates; see text,yes,"&lt;p&gt;This spell functions as &lt;i&gt;lesser spellcrash&lt;/i&gt;, except it affects 5th-level or lower prepared spells or spell slots.&lt;/p&gt;",Advanced Class Guide,,Target loses a 5th-level prepared spell or spell slot.,NULL
Stench Of Prey,transmutation,,,"druid 3, ranger 3, shaman 3",1 standard action,"V, S, DF",medium (100 ft. + 10 ft./level),,,one creature (see text),1 minute/level,Fortitude negates (see text),yes,"&lt;p&gt;The target exudes a strong odor that most predators recognize as the scent of helpless prey. The closest 1d4+1 predatory creatures within 30 feet must succeed at a Will save or start attacking the target (animals with the scent ability are affected if within 60 feet). If the predator is an animal, it can be called away from the target by a handler using the down trick (&lt;i&gt;Core Rulebook&lt;/i&gt; 97) or any effect that suspends or dispels emotion or rage effects.&lt;/p&gt;&lt;p&gt;This spell has no effect on constructs, undead, or creatures with the unnatural aura ability or effects that repel animals.&lt;/p&gt;",Advanced Class Guide,,Predatory animals must successfully save or attack the target.,NULL
Stone Discus,conjuration,creation,earth,"bloodrager 2, druid 2, magus 2, sorcerer/wizard 2, witch 2",1 standard action,"V, S, M (a pinch of earth or metal)",close (25 ft. + 5 ft./2 levels),,one or more stone discuses,,Instantaneous,none,no,"&lt;p&gt;You create a stone discus, which flies at an enemy. You can create one discus, plus one additional discus at 7th and 11th caster levels. For each discus you create, you decide whether its edge is blunt (and deals bludgeoning damage) or sharp (and deals slashing damage). Each discus requires a ranged attack to hit and deals 4d6 points of damage. The discuses can be launched at more than one target, but all must be aimed at targets within 30 feet of each other and launched simultaneously.&lt;/p&gt;&lt;p&gt;At caster level 5th, the discuses count as magic and silver.&lt;/p&gt;&lt;p&gt;At caster level 10th, they also count as cold iron. At caster level 15th, they also count as adamantine.&lt;/p&gt;",Advanced Class Guide,,Flying discus deals bludgeoning or slashing damage.,NULL
Stricken Heart,necromancy,,death,"inquisitor 2, shaman 3, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2, spiritualist 2",1 standard action,"V, S",touch,,,creature touched,instantaneous,none,yes,"&lt;p&gt;This spell covers your hand with a writhing black aura. As part of casting the spell, you can make a melee touch attack that deals 2d6 points of negative energy damage and causes the target to be staggered for 1 round. If the attack is a critical hit, the target is staggered for 1 minute instead. Creatures immune to precision damage are immune to the staggered effect.&lt;/p&gt;",Advanced Class Guide,,Touch attack deals 2d6 damage and staggers target.,NULL
Stunning Barrier,abjuration,,,"cleric/oracle 1, inquisitor 1, paladin 1, sorcerer/wizard 1, psychic 1",1 standard action,"V, S",personal,,,you,1 round/level or until discharged,none and Will negates (see text),no and yes (see text),"&lt;p&gt;You are closely surrounded by a barely visible magical field.&lt;/p&gt;&lt;p&gt;The field provides a +1 deflection bonus to AC and a +1 resistance bonus on saves. Any creature that strikes you with a melee attack is stunned for 1 round (Will negates). Once the field has stunned an opponent, the spell is discharged.&lt;/p&gt;",Advanced Class Guide,,"Magical field grants a +1 bonus to AC and on saves, and stuns one creature attacking you.",NULL
"Stunning Barrier, Greater",abjuration,,,"cleric/oracle 3, inquisitor 3, paladin 3, sorcerer/wizard 3, psychic 3",1 standard action,"V, S",personal,,,you,1 round/level or until discharged,none and Will negates (see text),no and yes (see text),"&lt;p&gt;This spell functions as &lt;i&gt;stunning barrier&lt;/i&gt;, except as noted above, and it provides a +2 bonus to AC and on saving throws. It is not discharged until it has stunned a number of creatures equal to your caster level.&lt;/p&gt;",Advanced Class Guide,,"Magical field grants a +2 bonus to AC and on saves, and stuns multiple creatures attacking you.",NULL
Sunder Breaker,abjuration,,force,"magus 1, sorcerer/wizard 1, psychic 1",1 standard action,"V, S",touch,,,creature touched,1 minute/level (D) or until discharged,Will negates (harmless) and see text,yes (harmless) and see text,"&lt;p&gt;You place an invisible ward upon the target. The next time a creature succeeds at a sunder combat maneuver against the target, the attacker&apos;s weapon takes 1d6 points of damage per caster level (maximum 10d6). If the attacker used a natural weapon for the sunder, the attacker takes half this damage. Spell resistance applies to this damage. The attacker can attempt a Fortitude save to halve this damage.&lt;/p&gt;&lt;p&gt;The ward on the target counts as a magical trap and can be detected and disabled as such.&lt;/p&gt;",Advanced Class Guide,,The next weapon that sunders an item belonging to the target takes damage.,NULL
Sundering Shards,transmutation,,,"bloodrager 1, magus 1, sorcerer/wizard 1, witch 1, occultist 1, psychic 1",1 standard action,V,touch,,,melee weapon touched,1 hour/level or until discharged,Reflex negates (see text),yes,"&lt;p&gt;You channel power into a melee weapon. If the weapon&apos;s wielder destroys an item with a successful sunder combat maneuver, she can release the extra power in the weapon, shattering the sundered item into jagged shards that deal 1d6 points of piercing and slashing damage to the creature that was wearing, carrying, or wielding the now-shattered item. Any creature (other than the wielder of the weapon targeted by this spell) adjacent to that creature must succeed at a Reflex saving throw or take 1d6 points of piercing and slashing damage from flying shards. The shards also count as whatever special materials the sundered item was made of (for example, the shards from a shattered cold iron weapon are cold iron). Once the weapon&apos;s extra power is unleashed, the spell is discharged.&lt;/p&gt;",Advanced Class Guide,,"Sundered item explodes, dealing 1d6 damage to adjacent creatures.",NULL
